time,Eating,Eggs,Hunting,JPO_egg_counter,Mating,Swimming,boxnumber,day,eggnumber,gonad_identifyer,gonad_maturity,gonad_weight,identifyer,length,liver_co,liver_identifyer,mass,oxygen,prey_availability,rep_cyc,res_box,sex,sex_gon,stc_identifyer,stc_prey_count,stc_variable,temperature
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1026.0,442.0,,,777.0,,,1.0,13.0,0.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1025.0,442.0,,,777.0,,,1.0,13.0,1.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1026.0,0.0,1.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1025.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1026.0,0.0,0.0,,,,,,,,,,,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1025.0,0.0,0.0,,,,,,,,,,,1.0,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1026.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1025.0,,,,,,,,,,,
16800.0,73.0,0.0,18.0,,0.0,29589.0,,,,,,,1026.0,444.12371059819566,,,789.6073599999539,,,1.0,13.0,0.0,,,,,
16800.0,73.0,0.0,18.0,,0.0,29589.0,,,,,,,1025.0,443.33710809281354,,,783.8982399999935,,,1.0,13.0,1.0,,,,,
16800.0,73.0,0.0,18.0,,0.0,29589.0,1.0,7.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
16800.0,73.0,0.0,18.0,,0.0,29589.0,25.0,7.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
16800.0,73.0,0.0,18.0,,0.0,29589.0,37.0,7.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
16800.0,73.0,0.0,18.0,,0.0,29589.0,13.0,7.0,,,,,,,,,,99.0,652.0,,,,,,,,6.0
16800.0,73.0,0.0,18.0,,0.0,29589.0,,,,,,,,,,,,,,,,,,1025.0,53.677,1.0,
16800.0,73.0,0.0,18.0,,0.0,29589.0,,,,,,,,,,,,,,,,,,1026.0,68.601,1.0,
