time,Eating,Eggs,Hunting,JPO_egg_counter,Mating,Swimming,boxnumber,day,eggnumber,gonad_identifyer,gonad_maturity,gonad_weight,identifyer,length,liver_co,liver_identifyer,mass,oxygen,prey_availability,rep_cyc,res_box,sex,sex_gon,stc_identifyer,stc_prey_count,stc_variable,temperature
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1036.0,442.0,,,864.0,,,1.0,13.0,0.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1035.0,442.0,,,864.0,,,1.0,13.0,1.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1036.0,0.0,1.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1035.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1036.0,0.0,0.0,,,,,,,,,,,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1035.0,0.0,0.0,,,,,,,,,,,1.0,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1035.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1036.0,,,,,,,,,,,
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,1036.0,443.28292279722416,,,868.5059700000529,,,1.0,13.0,0.0,,,,,
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,1035.0,443.56344097812257,,,872.2204400000023,,,1.0,13.0,1.0,,,,,
16800.0,84.0,0.0,15.0,,0.0,36258.0,13.0,7.0,,,,,,,,,,99.0,641.0,,,,,,,,6.0
16800.0,84.0,0.0,15.0,,0.0,36258.0,37.0,7.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
16800.0,84.0,0.0,15.0,,0.0,36258.0,25.0,7.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
16800.0,84.0,0.0,15.0,,0.0,36258.0,1.0,7.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,,,,,,,,,,,,1035.0,70.58999999999999,1.0,
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,,,,,,,,,,,,1036.0,48.346999999999994,1.0,
16800.0,84.0,0.0,15.0,0.0,0.0,36258.0,,,0.0,1036.0,0.0,0.0,,,,,,,,,,,0.0,,,,
16800.0,84.0,0.0,15.0,0.0,0.0,36258.0,,,0.0,1035.0,0.0,0.0,,,,,,,,,,,1.0,,,,
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,,,0.03321715181445592,1036.0,,,,,,,,,,,
16800.0,84.0,0.0,15.0,,0.0,36258.0,,,,,,,,,0.033367008602802936,1035.0,,,,,,,,,,,
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,1036.0,443.50733298309785,,,865.1864200001593,,,1.0,13.0,0.0,,,,,
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,1035.0,446.54091727656004,,,894.5323099998561,,,1.0,13.0,1.0,,,,,
33600.0,206.0,0.0,31.0,,0.0,70836.0,25.0,14.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
33600.0,206.0,0.0,31.0,,0.0,70836.0,13.0,14.0,,,,,,,,,,99.0,519.0,,,,,,,,6.0
33600.0,206.0,0.0,31.0,,0.0,70836.0,1.0,14.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
33600.0,206.0,0.0,31.0,,0.0,70836.0,37.0,14.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,,,,,,,,,,,,1036.0,88.34799999999996,1.0,
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,,,,,,,,,,,,1035.0,139.35999999999999,1.0,
33600.0,206.0,0.0,31.0,0.0,0.0,70836.0,,,0.0,1035.0,0.0,0.0,,,,,,,,,,,1.0,,,,
33600.0,206.0,0.0,31.0,0.0,0.0,70836.0,,,0.0,1036.0,0.0,0.0,,,,,,,,,,,0.0,,,,
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,,,0.034904003792034094,1035.0,,,,,,,,,,,
33600.0,206.0,0.0,31.0,,0.0,70836.0,,,,,,,,,0.033961540670460234,1036.0,,,,,,,,,,,
50400.0,733.0,0.0,50.0,,0.0,109009.0,,,,,,,1036.0,443.94240778263713,,,865.1447900002141,,,1.0,13.0,0.0,,,,,
50400.0,733.0,0.0,50.0,,0.0,109009.0,,,,,,,1035.0,447.6215085142862,,,900.1444099998632,,,1.0,13.0,1.0,,,,,
50400.0,733.0,0.0,50.0,,0.0,109009.0,25.0,21.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
50400.0,733.0,0.0,50.0,,0.0,109009.0,13.0,21.0,,,,,,,,,,99.0,717.0,,,,,,,,6.0
50400.0,733.0,0.0,50.0,,0.0,109009.0,37.0,21.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
50400.0,733.0,0.0,50.0,,0.0,109009.0,1.0,21.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
50400.0,733.0,0.0,50.0,,0.0,109009.0,,,,,,,,,,,,,,,,,,1036.0,140.6080000000001,1.0,
50400.0,733.0,0.0,50.0,,0.0,109009.0,,,,,,,,,,,,,,,,,,1035.0,211.6530000000013,1.0,
