time,Eating,Eggs,Hunting,JPO_egg_counter,Mating,Swimming,boxnumber,day,eggnumber,gonad_identifyer,gonad_maturity,gonad_weight,identifyer,length,liver_co,liver_identifyer,mass,oxygen,prey_availability,rep_cyc,res_box,sex,sex_gon,stc_identifyer,stc_prey_count,stc_variable,temperature
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1033.0,442.0,,,715.0,,,1.0,13.0,1.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1034.0,442.0,,,715.0,,,1.0,13.0,0.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1033.0,0.0,1.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1034.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1033.0,0.0,0.0,,,,,,,,,,,1.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1034.0,0.0,0.0,,,,,,,,,,,0.0,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1033.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1034.0,,,,,,,,,,,
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,1033.0,444.6818733220101,,,732.1260699998943,,,1.0,13.0,1.0,,,,,
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,1034.0,443.34727141403596,,,721.4744999999936,,,1.0,13.0,0.0,,,,,
16800.0,65.0,0.0,16.0,,0.0,24081.0,13.0,7.0,,,,,,,,,,99.0,660.0,,,,,,,,6.0
16800.0,65.0,0.0,16.0,,0.0,24081.0,25.0,7.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
16800.0,65.0,0.0,16.0,,0.0,24081.0,37.0,7.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
16800.0,65.0,0.0,16.0,,0.0,24081.0,1.0,7.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,,,,,,,,,,,,1034.0,45.11000000000001,1.0,
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,,,,,,,,,,,,1033.0,85.26700000000001,1.0,
16800.0,65.0,0.0,16.0,0.0,0.0,24081.0,,,0.0,1033.0,0.0,0.0,,,,,,,,,,,1.0,,,,
16800.0,65.0,0.0,16.0,0.0,0.0,24081.0,,,0.0,1034.0,0.0,0.0,,,,,,,,,,,0.0,,,,
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,,,1.38287397178087,1033.0,,,,,,,,,,,
16800.0,65.0,0.0,16.0,,0.0,24081.0,,,,,,,,,0.4825718262613103,1034.0,,,,,,,,,,,
33600.0,137.0,0.0,31.0,,0.0,50488.0,,,,,,,1033.0,448.8605748576231,,,757.9475099997493,,,1.0,13.0,1.0,,,,,
